Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,Mike Montgomery,2 Tms,43.2,174,4.7405,2.4733,1.9167,1.6489,0.1322,0.069,0.0632,0.324675324,1.4198,0.3281,0.3717,5.572791703,4.922175981,4869
2019,Jon Lester,CHC,81,339,8.2222,3.1111,2.6429,1.2222,0.2183,0.0826,0.1357,0.286666666,1.4074,0.3348,0.2982,4.263392192,4.339817391,4930
2019,Cole Hamels,CHC,66.2,274,7.83,3.78,2.0714,0.945,0.2117,0.1022,0.1095,0.244635193,1.275,0.2793,0.4275,4.189008988,4.554617923,4972
2019,Jake Diekman,2 Tms,37.1,160,12.0535,3.1339,3.8462,0.4821,0.3125,0.0813,0.2313,0.235294117,1.2054,0.3409,0.3862,2.839010146,3.527920154,5003
2019,Jeurys Familia,NYM,31.2,132,8.8105,6.821,1.2917,0.5684,0.2348,0.1818,0.053,0.25,1.5789,0.3243,0.3527,4.445587126,4.818057632,5114
2019,Wade LeBlanc,SEA,49.1,217,7.8446,2.0068,3.9091,1.8243,0.1982,0.0507,0.1475,0.333333333,1.6014,0.3791,0.2615,4.774821341,4.760599352,5221
2019,Blake Parker,2 Tms,28.2,107,9.1046,2.1977,4.1429,2.1977,0.271,0.0654,0.2056,0.229166666,1.0116,0.2344,0.1563,5.097728215,3.658083856,5224
2019,Wilmer Font,3 Tms,40.2,160,9.0738,2.4344,3.7273,0.8852,0.2563,0.0688,0.1875,0.234482758,1.1066,0.2941,0.4348,3.435321314,4.357804745,5257
2019,Jose Alvarez,PHI,31.1,126,8.617,2.2979,3.75,0.5745,0.2381,0.0635,0.1746,0.28318584,1.2766,0.3529,0.5759,2.990604984,3.684465545,5358
2019,Manny Banuelos,CHW,23.1,100,6.1714,4.2429,1.4545,1.5429,0.16,0.11,0.05,0.34117647,1.7143,0.3676,0.2825,5.614012904,5.687236958,5365
2019,Michael Pineda,MIN,59,227,7.6271,1.678,4.5455,1.0678,0.2203,0.0485,0.1718,0.242718446,1.0339,0.2722,0.1916,3.671636594,4.354477072,5372
2019,Brad Peacock,HOU,36.2,148,10.3091,2.2091,4.6667,1.7182,0.2838,0.0608,0.223,0.2481203,1.1455,0.2989,0.2841,4.386735682,3.966458524,5401
2019,Pedro Baez,LAD,34.2,129,8.0481,2.5962,3.1,0.5192,0.2403,0.0775,0.1628,0.165217391,0.8365,0.2024,0.1773,3.214009476,4.414960244,5420
2019,Jesse Chavez,TEX,34.2,146,7.5288,3.1154,2.4167,1.2981,0.1986,0.0822,0.1164,0.271317829,1.3558,0.3061,0.1905,4.627469655,4.416517086,5448
2019,Madison Bumgarner,SFG,80.1,314,8.4025,2.2407,3.75,1.0083,0.2389,0.0637,0.1752,0.272401433,1.195,0.3268,0.2602,3.736831269,4.112780412,5524
2019,Ryan Brasier,BOS,24,104,9.375,3,3.125,1.875,0.2404,0.0769,0.1635,0.282608695,1.4167,0.3231,0.2143,4.964009476,4.659299916,5615
2019,Tyler Clippard,CLE,23.1,87,8.1,1.1571,7,1.5429,0.2414,0.0345,0.2069,0.197368421,0.7714,0.2037,0.4023,4.671154414,5.426392888,5640
2019,Junior Guerra,MIL,39,153,7.6154,3,2.5385,0.9231,0.2157,0.085,0.1307,0.207407407,1.0513,0.233,0.3672,3.855035117,4.561912944,5702
2019,Kelvin Herrera,CHW,27,124,7,4.3333,1.6154,1.6667,0.1694,0.1048,0.0645,0.317757009,1.7407,0.3452,0.3659,5.621416883,5.645261109,6033
2019,Trevor Cahill,LAA,41.2,180,6.264,3.672,1.7059,1.296,0.1611,0.0944,0.0667,0.270967741,1.416,0.2903,0.2015,5.206007882,5.434609111,6249
2019,Chris Archer,PIT,50.2,219,10.125,4.2632,2.375,1.5987,0.2603,0.1096,0.1507,0.27027027,1.4605,0.3203,0.2885,4.753482147,4.682128285,6345
2019,Jake Odorizzi,MIN,65.1,259,9.3674,3.3061,2.8333,0.6888,0.2625,0.0927,0.1699,0.24778761,1.2245,0.3168,0.3649,3.275233997,4.442075678,6397
2019,Trevor May,MIN,29.2,114,11.2247,2.1236,5.2857,0.9101,0.3246,0.0614,0.2632,0.184466019,0.8764,0.2424,0.3509,2.843223376,3.674275977,6398
2019,Jose Cisnero,DET,21,93,10.2857,4.2857,2.4,1.7143,0.2581,0.1075,0.1505,0.25,1.381,0.2885,0.4545,5.261628523,4.774643929,6399
2019,Steve Cishek,CHC,32.1,124,6.6804,4.1753,1.6,0.8351,0.1935,0.121,0.0726,0.182692307,1.0515,0.2025,0.5793,4.605763488,5.306755417,6483
2019,Brad Brach,2 Tms,24.2,109,8.027,5.1081,1.5714,0.3649,0.2018,0.1284,0.0734,0.344444444,1.8243,0.4167,0.344,3.659954819,5.149012822,6627
2019,Carlos Carrasco,CLE,35.2,136,10.3458,0.757,13.6667,2.0187,0.3015,0.0221,0.2794,0.28125,1.0935,0.3373,0.0694,4.167279613,3.370733353,6632
2019,Alex Colome,CHW,28.2,111,6.593,2.8256,2.3333,0.6279,0.1892,0.0811,0.1081,0.195876288,0.9767,0.2152,0.1984,3.59772996,4.564306469,6661
2019,Andrew Miller,STL,27.2,114,10.7349,3.5783,3,1.3012,0.2895,0.0965,0.193,0.25510204,1.3012,0.3387,0.436,4.334490053,4.180548353,6785
2019,Julio Teheran,ATL,75.2,315,7.0176,4.4009,1.5946,0.8326,0.1873,0.1175,0.0698,0.248091603,1.348,0.2802,0.4218,4.522378943,5.265126219,6797
2019,Chase Anderson,MIL,63,247,8.4286,3.1429,2.6818,1.5714,0.2389,0.0891,0.1498,0.201877934,1.0317,0.2119,0.2612,4.84893011,4.820892295,6895
2019,Martin Perez,MIN,71,323,7.4789,3.8028,1.9667,1.1408,0.1827,0.0929,0.0898,0.326241134,1.7183,0.3739,0.3114,4.594291166,4.627422897,6902
2019,Joakim Soria,OAK,25,98,7.2,2.52,2.8571,1.08,0.2041,0.0714,0.1327,0.229885057,1.08,0.2537,0.042,4.134009476,4.801920063,6941
2019,Luis Garcia,LAA,33,140,7.9091,4.6364,1.7059,1.9091,0.2071,0.1214,0.0857,0.268907563,1.4848,0.2907,0.5224,5.850373112,5.082003236,6984
2019,Ian Kennedy,KCR,29.2,122,12.4382,2.1236,5.8571,1.2135,0.3361,0.0574,0.2787,0.279279279,1.2809,0.3913,0.509,3.011762513,3.136406126,6986
2019,Ryan Pressly,HOU,20,77,15.3,1.8,8.5,0.9,0.4416,0.0519,0.3896,0.197183098,0.9,0.3243,0.4605,1.714009476,1.408612417,7005
2019,Daniel Hudson,2 Tms,35,139,8.2286,3.3429,2.4615,1.5429,0.2302,0.0935,0.1367,0.19327731,1.0286,0.1954,0.4895,4.814009476,4.858816198,7146
2019,Craig Stammen,SDP,36.1,142,6.1927,2.7248,2.2727,0.4954,0.1761,0.0775,0.0986,0.2109375,1.0459,0.2404,0.3693,3.461716125,4.114840037,7274
2019,Javy Guerra,2 Tms,27.2,127,8.1325,4.2289,1.9231,1.9518,0.1969,0.1024,0.0945,0.288288288,1.6265,0.3171,0.3723,5.744126909,5.944607886,7407
2019,J.A. Happ,NYY,63,246,7.8571,2.7143,2.8947,2.4286,0.2236,0.0772,0.1463,0.267857142,1.254,0.2792,0.1601,5.92829519,4.662162136,7410
2019,Wade Davis,COL,20.1,97,7.5246,6.1967,1.2143,1.3279,0.1753,0.1443,0.0309,0.329268292,2.0164,0.3871,0.1058,5.6730299,5.907253042,7441
2019,Gio Gonzalez,MIL,35.2,143,6.3084,4.2897,1.4706,0.5047,0.1748,0.1189,0.0559,0.229508196,1.2617,0.2626,0.3791,3.971018114,4.692120793,7448
2019,Anthony Swarzak,2 Tms,25.1,108,7.8158,3.5526,2.2,1.421,0.2037,0.0926,0.1111,0.285714285,1.5,0.3333,0.4938,4.714005528,4.388843071,7466
2019,Collin McHugh,HOU,29.2,128,9.7079,3.9438,2.4615,1.2135,0.25,0.1016,0.1484,0.245454545,1.3483,0.2949,0.226,4.225244294,4.551043333,7531
2019,Jake McGee,COL,20,83,8.1,1.8,4.5,1.35,0.2169,0.0482,0.1687,0.297297297,1.3,0.3393,0.4622,4.264009476,4.800516828,7550
2019,Nick Vincent,2 Tms,24,97,8.25,2.25,3.6667,1.5,0.2268,0.0619,0.1649,0.24137931,1.125,0.2698,0.4274,4.547342809,4.535649181,7555
2019,Jordan Lyles,2 Tms,59.2,238,9.352,2.8659,3.2632,1.5084,0.2605,0.0798,0.1807,0.248826291,1.2067,0.2945,0.2712,4.320154109,4.041686141,7593
2019,Tommy Milone,SEA,38,147,7.3421,1.6579,4.4286,1.6579,0.2109,0.0476,0.1633,0.253731343,1.0789,0.2673,-0.0621,4.608746318,4.621995543,7608
2019,Juan Nicasio,PHI,23.2,105,8.7465,3.8028,2.3,1.1408,0.219,0.0952,0.1238,0.296703296,1.5634,0.3529,0.355,4.312599477,4.6819345,7731
2019,Wily Peralta,KCR,25,99,5.76,3.6,1.6,1.08,0.1616,0.101,0.0606,0.273809523,1.32,0.2941,0.3571,4.934009476,5.204078887,7738
2019,Mike Fiers,OAK,71.2,272,5.6512,2.5116,2.25,1.3814,0.1654,0.0735,0.0919,0.258333333,1.1442,0.2642,0.3161,4.916334265,5.030468822,7754
2019,Shawn Kelley,TEX,23.2,92,9.507,2.662,3.5714,0.3803,0.2717,0.0761,0.1957,0.2125,1.0141,0.2807,0.4472,2.79147486,4.259399884,7773
2019,Richard Bleier,BAL,26.2,111,2.7,1.35,2,0.675,0.0721,0.036,0.036,0.333333333,1.425,0.3368,0.2688,4.264008163,4.631721674,7803
2019,Cory Gearrin,2 Tms,29.2,119,7.2809,3.3371,2.1818,0.3034,0.2017,0.0924,0.1092,0.247619047,1.2472,0.3086,0.4787,3.348840785,4.51988243,7947
2019,Marcus Walden,BOS,39.2,152,7.7143,1.8151,4.25,0.2269,0.2237,0.0526,0.1711,0.201438848,0.9076,0.2523,0.1366,2.583757905,3.559875225,8004
2019,Jason Vargas,2 Tms,72.1,295,6.0968,3.4839,1.75,1.2442,0.1661,0.0949,0.0712,0.244,1.2304,0.2488,0.2436,4.942120871,5.564933844,8044
2019,Will Smith,SFG,27,94,11.3333,2.3333,4.8571,1,0.3617,0.0745,0.2872,0.174418604,0.8148,0.24,0.5056,2.91771318,3.020428865,8048
2019,Bryan Shaw,COL,31.1,136,5.7447,3.4468,1.6667,1.7234,0.1471,0.0882,0.0588,0.294117647,1.5,0.3053,0.2885,5.862948464,5.024203516,8110
